estrutura,distribuicao,n,tempo_insercao_us,tempo_busca_existente_us,tempo_busca_inexistente_us,tempo_remocao_us,metrica_estrutural
Trie,aleatorio,100,26,2,5,33,522
Patricia,aleatorio,100,33,21,21,29,135
Trie,aleatorio,100,30,2,5,38,554
Patricia,aleatorio,100,37,26,26,32,128
Trie,aleatorio,100,35,3,6,48,563
Patricia,aleatorio,100,25,20,19,24,131
Trie,aleatorio,100,55,3,7,52,610
Patricia,aleatorio,100,37,28,26,32,129
Trie,aleatorio,100,61,4,7,61,601
Patricia,aleatorio,100,36,27,24,32,130
Trie,aleatorio,1000,512,60,91,587,4962
Patricia,aleatorio,1000,249,298,258,245,1335
Trie,aleatorio,1000,244,25,70,322,5121
Patricia,aleatorio,1000,245,365,350,347,1323
Trie,aleatorio,1000,645,31,60,377,5034
Patricia,aleatorio,1000,256,312,313,454,1339
Trie,aleatorio,1000,231,29,56,372,5058
Patricia,aleatorio,1000,259,353,361,353,1330
Trie,aleatorio,1000,508,25,60,318,5122
Patricia,aleatorio,1000,256,374,362,379,1327
Trie,aleatorio,10000,4536,883,1157,4053,43032
Patricia,aleatorio,10000,2361,3213,3893,3466,12104
Trie,aleatorio,10000,3691,816,922,3467,43225
Patricia,aleatorio,10000,2614,3552,3322,3056,12125
Trie,aleatorio,10000,2202,482,748,2806,43076
Patricia,aleatorio,10000,2491,3093,3153,3378,12163
Trie,aleatorio,10000,5171,954,1989,5760,43153
Patricia,aleatorio,10000,5087,5702,5162,3918,12107
Trie,aleatorio,10000,5702,544,663,3264,43470
Patricia,aleatorio,10000,4278,6025,4354,3891,12111
Trie,aleatorio,100000,42783,10686,14524,48706,360259
Patricia,aleatorio,100000,43182,52506,56306,52183,110389
Trie,aleatorio,100000,51220,19610,17438,44259,359890
Patricia,aleatorio,100000,49240,52520,99157,71295,110653
Trie,aleatorio,100000,38835,11031,14377,47228,359737
Patricia,aleatorio,100000,43159,52029,56739,51474,110425
Trie,aleatorio,100000,31411,10673,13158,48869,359659
Patricia,aleatorio,100000,43546,53047,57320,52937,110626
Trie,aleatorio,100000,44059,9838,12885,49598,360313
Patricia,aleatorio,100000,43251,52553,55949,52222,110698
Trie,aleatorios,15,7,1,1,11,45
Patricia,aleatorios,15,28,26,25,32,22
