estrutura,distribuicao,n,tempo_insercao_us,tempo_busca_existente_us,tempo_busca_inexistente_us,tempo_remocao_us,metrica_estrutural
Trie,aleatorio,100,26,2,5,33,522
Patricia,aleatorio,100,33,21,21,29,135
Trie,aleatorio,100,30,2,5,38,554
Patricia,aleatorio,100,37,26,26,32,128
Trie,aleatorio,100,35,3,6,48,563
Patricia,aleatorio,100,25,20,19,24,131
Trie,aleatorio,100,55,3,7,52,610
Patricia,aleatorio,100,37,28,26,32,129
Trie,aleatorio,100,61,4,7,61,601
Patricia,aleatorio,100,36,27,24,32,130
Trie,aleatorio,1000,512,60,91,587,4962
Patricia,aleatorio,1000,249,298,258,245,1335
Trie,aleatorio,1000,244,25,70,322,5121
Patricia,aleatorio,1000,245,365,350,347,1323
Trie,aleatorio,1000,645,31,60,377,5034
Patricia,aleatorio,1000,256,312,313,454,1339
Trie,aleatorio,1000,231,29,56,372,5058
Patricia,aleatorio,1000,259,353,361,353,1330
Trie,aleatorio,1000,508,25,60,318,5122
Patricia,aleatorio,1000,256,374,362,379,1327
Trie,aleatorio,10000,4536,883,1157,4053,43032
Patricia,aleatorio,10000,2361,3213,3893,3466,12104
Trie,aleatorio,10000,3691,816,922,3467,43225
Patricia,aleatorio,10000,2614,3552,3322,3056,12125
Trie,aleatorio,10000,2202,482,748,2806,43076
Patricia,aleatorio,10000,2491,3093,3153,3378,12163
Trie,aleatorio,10000,5171,954,1989,5760,43153
Patricia,aleatorio,10000,5087,5702,5162,3918,12107
Trie,aleatorio,10000,5702,544,663,3264,43470
Patricia,aleatorio,10000,4278,6025,4354,3891,12111
Trie,aleatorio,100000,42783,10686,14524,48706,360259
Patricia,aleatorio,100000,43182,52506,56306,52183,110389
Trie,aleatorio,100000,51220,19610,17438,44259,359890
Patricia,aleatorio,100000,49240,52520,99157,71295,110653
Trie,aleatorio,100000,38835,11031,14377,47228,359737
Patricia,aleatorio,100000,43159,52029,56739,51474,110425
Trie,aleatorio,100000,31411,10673,13158,48869,359659
Patricia,aleatorio,100000,43546,53047,57320,52937,110626
Trie,aleatorio,100000,44059,9838,12885,49598,360313
Patricia,aleatorio,100000,43251,52553,55949,52222,110698
Splay,aleatorio,100,29,30,1,32,16
Treap,aleatorio,100,24,6,1,15,12
Splay,aleatorio,100,23,25,0,26,14
Treap,aleatorio,100,16,4,0,14,10
Splay,aleatorio,100,21,22,0,25,11
Treap,aleatorio,100,25,4,1,15,12
Splay,aleatorio,100,25,28,1,31,13
Treap,aleatorio,100,29,7,0,18,13
Splay,aleatorio,100,26,26,1,29,14
Treap,aleatorio,100,26,5,1,29,13
Splay,ordenado,100,4,6,0,9,100
Treap,ordenado,100,16,5,1,5,15
Splay,aleatorio,1000,336,343,6,426,25
Treap,aleatorio,1000,206,67,29,181,23
Splay,aleatorio,1000,240,268,2,291,23
Treap,aleatorio,1000,186,67,14,188,24
Splay,aleatorio,1000,289,308,3,372,30
Treap,aleatorio,1000,205,70,14,199,23
Splay,aleatorio,1000,280,330,5,340,24
Treap,aleatorio,1000,183,60,12,163,24
Splay,aleatorio,1000,263,263,2,289,24
Treap,aleatorio,1000,226,92,27,197,23
Splay,ordenado,1000,27,50,5,63,1000
Treap,ordenado,1000,88,51,22,48,20
Splay,aleatorio,10000,3787,3923,19,3721,32
Treap,aleatorio,10000,2835,1314,160,2350,30
Splay,aleatorio,10000,3921,4358,25,4507,31
Treap,aleatorio,10000,3129,950,117,2487,31
Splay,aleatorio,10000,3789,4212,21,4652,39
Treap,aleatorio,10000,2833,980,158,2510,31
Splay,aleatorio,10000,4741,4252,23,4873,35
Treap,aleatorio,10000,2284,789,74,2113,28
Splay,aleatorio,10000,3248,3536,18,3873,38
Treap,aleatorio,10000,2313,778,62,2059,27
Splay,ordenado,10000,168,431,18,475,10000
Treap,ordenado,10000,1253,834,374,527,37
Splay,aleatorio,100000,58544,83441,511,76220,45
Treap,aleatorio,100000,45081,20134,1924,40757,38
Splay,aleatorio,100000,65219,93607,206,86335,44
Treap,aleatorio,100000,56667,24494,1467,49380,38
Splay,aleatorio,100000,57779,68285,185,73741,45
Treap,aleatorio,100000,48474,31524,2574,47862,44
Splay,aleatorio,100000,58248,70939,183,70057,46
Treap,aleatorio,100000,44692,21017,1442,40509,40
Splay,aleatorio,100000,58687,70184,186,69826,41
Treap,aleatorio,100000,50232,21692,1443,57704,42
Splay,ordenado,100000,1856,5049,183,4868,100000
Treap,ordenado,100000,46448,25273,64002,4718,118
KD-Tree,aleatorio,100,25,10,3,27,15
KD-Tree,aleatorio,100,23,12,1,29,13
KD-Tree,aleatorio,100,22,9,3,26,14
KD-Tree,aleatorio,100,27,12,2,32,12
KD-Tree,aleatorio,100,26,15,1,30,12
KD-Tree,aleatorio,1000,214,123,15,242,26
KD-Tree,aleatorio,1000,147,121,21,226,20
KD-Tree,aleatorio,1000,140,112,23,216,22
KD-Tree,aleatorio,1000,155,121,40,226,24
KD-Tree,aleatorio,1000,155,122,10,218,19
KD-Tree,aleatorio,10000,2254,1831,359,2816,34
KD-Tree,aleatorio,10000,2245,1821,137,3079,32
KD-Tree,aleatorio,10000,2185,1798,295,3092,30
KD-Tree,aleatorio,10000,2189,1734,248,2788,37
KD-Tree,aleatorio,10000,2350,1781,342,2770,36
KD-Tree,aleatorio,100000,53791,46435,5225,63370,39
KD-Tree,aleatorio,100000,45401,38224,3646,51034,39
KD-Tree,aleatorio,100000,46274,37490,5108,51658,41
KD-Tree,aleatorio,100000,49947,37742,3429,56100,39
KD-Tree,aleatorio,100000,53626,46316,7332,61372,40
