estrutura,distribuicao,n,tempo_insercao_us,tempo_busca_existente_us,tempo_busca_inexistente_us,tempo_remocao_us,metrica_estrutural
KD-Tree,aleatorio,100,25,10,3,27,15
KD-Tree,aleatorio,100,23,12,1,29,13
KD-Tree,aleatorio,100,22,9,3,26,14
KD-Tree,aleatorio,100,27,12,2,32,12
KD-Tree,aleatorio,100,26,15,1,30,12
KD-Tree,aleatorio,1000,214,123,15,242,26
KD-Tree,aleatorio,1000,147,121,21,226,20
KD-Tree,aleatorio,1000,140,112,23,216,22
KD-Tree,aleatorio,1000,155,121,40,226,24
KD-Tree,aleatorio,1000,155,122,10,218,19
KD-Tree,aleatorio,10000,2254,1831,359,2816,34
KD-Tree,aleatorio,10000,2245,1821,137,3079,32
KD-Tree,aleatorio,10000,2185,1798,295,3092,30
KD-Tree,aleatorio,10000,2189,1734,248,2788,37
KD-Tree,aleatorio,10000,2350,1781,342,2770,36
KD-Tree,aleatorio,100000,53791,46435,5225,63370,39
KD-Tree,aleatorio,100000,45401,38224,3646,51034,39
KD-Tree,aleatorio,100000,46274,37490,5108,51658,41
KD-Tree,aleatorio,100000,49947,37742,3429,56100,39
KD-Tree,aleatorio,100000,53626,46316,7332,61372,40
