estrutura,distribuicao,n,tempo_insercao_us,tempo_busca_existente_us,tempo_busca_inexistente_us,tempo_remocao_us,metrica_estrutural
Splay,aleatorio,100,29,30,1,32,16
Treap,aleatorio,100,24,6,1,15,12
Splay,aleatorio,100,23,25,0,26,14
Treap,aleatorio,100,16,4,0,14,10
Splay,aleatorio,100,21,22,0,25,11
Treap,aleatorio,100,25,4,1,15,12
Splay,aleatorio,100,25,28,1,31,13
Treap,aleatorio,100,29,7,0,18,13
Splay,aleatorio,100,26,26,1,29,14
Treap,aleatorio,100,26,5,1,29,13
Splay,ordenado,100,4,6,0,9,100
Treap,ordenado,100,16,5,1,5,15
Splay,aleatorio,1000,336,343,6,426,25
Treap,aleatorio,1000,206,67,29,181,23
Splay,aleatorio,1000,240,268,2,291,23
Treap,aleatorio,1000,186,67,14,188,24
Splay,aleatorio,1000,289,308,3,372,30
Treap,aleatorio,1000,205,70,14,199,23
Splay,aleatorio,1000,280,330,5,340,24
Treap,aleatorio,1000,183,60,12,163,24
Splay,aleatorio,1000,263,263,2,289,24
Treap,aleatorio,1000,226,92,27,197,23
Splay,ordenado,1000,27,50,5,63,1000
Treap,ordenado,1000,88,51,22,48,20
Splay,aleatorio,10000,3787,3923,19,3721,32
Treap,aleatorio,10000,2835,1314,160,2350,30
Splay,aleatorio,10000,3921,4358,25,4507,31
Treap,aleatorio,10000,3129,950,117,2487,31
Splay,aleatorio,10000,3789,4212,21,4652,39
Treap,aleatorio,10000,2833,980,158,2510,31
Splay,aleatorio,10000,4741,4252,23,4873,35
Treap,aleatorio,10000,2284,789,74,2113,28
Splay,aleatorio,10000,3248,3536,18,3873,38
Treap,aleatorio,10000,2313,778,62,2059,27
Splay,ordenado,10000,168,431,18,475,10000
Treap,ordenado,10000,1253,834,374,527,37
Splay,aleatorio,100000,58544,83441,511,76220,45
Treap,aleatorio,100000,45081,20134,1924,40757,38
Splay,aleatorio,100000,65219,93607,206,86335,44
Treap,aleatorio,100000,56667,24494,1467,49380,38
Splay,aleatorio,100000,57779,68285,185,73741,45
Treap,aleatorio,100000,48474,31524,2574,47862,44
Splay,aleatorio,100000,58248,70939,183,70057,46
Treap,aleatorio,100000,44692,21017,1442,40509,40
Splay,aleatorio,100000,58687,70184,186,69826,41
Treap,aleatorio,100000,50232,21692,1443,57704,42
Splay,ordenado,100000,1856,5049,183,4868,100000
Treap,ordenado,100000,46448,25273,64002,4718,118
